account_id,industry,country,referral_source,cohort_month,starting_plan,starting_seats,starting_mrr,current_status,first_churn_date,churn_reason,months_active
A-f44180,Cybersecurity,UK,event,2023-03-01,Enterprise,9,1791,Churned,2023-04-29,competitor,1
A-32728c,DevTools,US,event,2023-04-01,Pro,20,980,Churned,2023-01-25,pricing,-3
A-3b37d9,FinTech,US,event,2023-04-01,Enterprise,23,4577,Churned,2023-12-26,budget,8
A-432483,Cybersecurity,US,ads,2023-04-01,Pro,5,245,Active,,,20
A-6c093d,DevTools,US,partner,2023-04-01,Basic,15,285,Active,,,20
A-7641d3,EdTech,US,partner,2023-04-01,Basic,8,152,Churned,2023-11-10,support,7
A-9affe6,Cybersecurity,US,other,2023-04-01,Enterprise,7,1393,Churned,2024-01-12,features,9
A-a1bbb6,DevTools,CA,organic,2023-04-01,Pro,21,1029,Active,,,20
A-c4ea60,FinTech,DE,other,2023-04-01,Basic,48,912,Active,,,20
A-cab532,DevTools,FR,organic,2023-04-01,Enterprise,11,2189,Churned,2024-07-10,support,15
A-cb6cc6,DevTools,US,ads,2023-04-01,Enterprise,13,0,Active,,,20
A-de58ca,HealthTech,DE,organic,2023-04-01,Pro,15,735,Active,,,20
A-e1462e,FinTech,UK,partner,2023-04-01,Enterprise,15,2985,Churned,2023-10-05,support,6
A-e3bd71,Cybersecurity,US,partner,2023-04-01,Enterprise,31,6169,Churned,2023-12-30,support,8
A-f19409,DevTools,US,other,2023-04-01,Pro,44,2156,Churned,2023-03-26,competitor,-1
A-ff3c73,HealthTech,AU,other,2023-04-01,Pro,21,1029,Churned,2023-12-09,competitor,8
A-10b8da,DevTools,US,partner,2023-05-01,Enterprise,17,3383,Active,,,19
A-151c9a,FinTech,US,ads,2023-05-01,Pro,23,1127,Churned,2023-11-04,support,6
A-49b828,FinTech,IN,ads,2023-05-01,Pro,6,294,Active,,,19
A-6a4e2d,EdTech,UK,partner,2023-05-01,Pro,56,0,Churned,2024-07-19,budget,14
A-84ebe4,FinTech,US,ads,2023-05-01,Basic,18,342,Churned,2024-01-05,budget,8
A-9208f0,EdTech,US,organic,2023-05-01,Enterprise,14,2786,Churned,2023-11-18,features,6
A-c7ffc2,Cybersecurity,US,partner,2023-05-01,Pro,132,6468,Churned,2023-04-15,budget,-1
A-cc98bc,DevTools,US,ads,2023-05-01,Enterprise,32,6368,Active,,,19
A-e43bf7,Cybersecurity,AU,other,2023-05-01,Enterprise,44,8756,Churned,2023-06-24,pricing,1
A-e5d6ab,EdTech,US,partner,2023-05-01,Basic,5,95,Churned,2023-04-24,features,-1
A-e6afc1,DevTools,US,ads,2023-05-01,Enterprise,51,10149,Active,,,19
A-e888d1,Cybersecurity,US,other,2023-05-01,Basic,54,1026,Churned,2023-06-06,budget,1
A-ee42db,EdTech,DE,ads,2023-05-01,Pro,13,637,Churned,2023-06-23,pricing,1
A-f446b6,DevTools,DE,ads,2023-05-01,Basic,30,570,Active,,,19
A-019782,DevTools,FR,event,2023-06-01,Pro,17,833,Active,,,18
A-05f0e5,FinTech,US,partner,2023-06-01,Enterprise,32,6368,Churned,2024-01-14,unknown,7
A-089363,FinTech,AU,event,2023-06-01,Pro,2,98,Churned,2023-11-27,pricing,5
A-0dbdc6,Cybersecurity,DE,other,2023-06-01,Pro,30,0,Churned,2023-11-26,support,5
A-158f4e,FinTech,IN,other,2023-06-01,Basic,61,1159,Churned,2023-03-05,budget,-3
A-19b2c8,DevTools,IN,other,2023-06-01,Pro,33,1617,Churned,2024-08-16,pricing,14
A-2ebb4b,HealthTech,US,ads,2023-06-01,Basic,41,0,Churned,2023-08-04,pricing,2
A-35083d,HealthTech,IN,partner,2023-06-01,Enterprise,19,0,Active,,,18
A-40de06,Cybersecurity,US,event,2023-06-01,Enterprise,28,5572,Active,,,18
A-425e76,DevTools,UK,other,2023-06-01,Enterprise,8,1592,Churned,2023-08-10,competitor,2
A-558c72,FinTech,US,organic,2023-06-01,Pro,16,784,Churned,2024-11-28,support,17
A-6e7827,DevTools,US,other,2023-06-01,Basic,9,171,Churned,2023-09-19,support,3
A-7c4956,DevTools,US,ads,2023-06-01,Pro,9,441,Active,,,18
A-94d3da,HealthTech,US,other,2023-06-01,Pro,41,2009,Churned,2024-04-12,competitor,10
A-9ee962,HealthTech,US,ads,2023-06-01,Pro,9,441,Churned,2024-10-03,support,16
A-b7724f,HealthTech,UK,organic,2023-06-01,Basic,33,627,Churned,2023-08-25,unknown,2
A-bad8c1,FinTech,AU,organic,2023-06-01,Pro,54,2646,Churned,2023-10-04,unknown,4
A-bb2f49,Cybersecurity,US,other,2023-06-01,Pro,68,3332,Active,,,18
A-bcf664,DevTools,US,other,2023-06-01,Basic,59,1121,Churned,2024-08-08,competitor,14
A-c608c8,DevTools,DE,ads,2023-06-01,Enterprise,3,597,Churned,2024-06-04,support,12
A-d5a319,FinTech,US,other,2023-06-01,Pro,15,0,Active,,,18
A-05d3b3,DevTools,AU,ads,2023-07-01,Basic,9,171,Churned,2024-03-12,unknown,8
A-075038,HealthTech,UK,ads,2023-07-01,Pro,103,5047,Churned,2024-09-05,features,14
A-1986ca,HealthTech,IN,ads,2023-07-01,Enterprise,20,3980,Active,,,17
A-2bc93d,HealthTech,US,event,2023-07-01,Enterprise,14,2786,Churned,2023-08-10,pricing,1
A-32fb14,DevTools,US,event,2023-07-01,Basic,26,0,Churned,2023-08-19,budget,1
A-417d2f,Cybersecurity,IN,partner,2023-07-01,Basic,5,95,Churned,2024-12-30,budget,17
A-4a4c2d,DevTools,US,event,2023-07-01,Basic,54,1026,Active,,,17
A-68f37c,HealthTech,US,ads,2023-07-01,Enterprise,121,24079,Churned,2024-02-08,competitor,7
A-69fad4,FinTech,UK,ads,2023-07-01,Basic,15,285,Churned,2024-06-17,support,11
A-6e08f3,Cybersecurity,US,event,2023-07-01,Enterprise,24,0,Churned,2024-02-10,competitor,7
A-726cfa,DevTools,US,partner,2023-07-01,Pro,20,980,Churned,2024-08-08,support,13
A-80eeb6,Cybersecurity,UK,organic,2023-07-01,Basic,34,646,Churned,2023-10-19,features,3
A-86902e,HealthTech,IN,other,2023-07-01,Pro,34,0,Churned,2024-12-07,features,17
A-9289f6,EdTech,US,event,2023-07-01,Basic,12,228,Churned,2023-08-24,support,1
A-95b24a,FinTech,US,event,2023-07-01,Pro,47,2303,Active,,,17
A-cbbe12,Cybersecurity,DE,partner,2023-07-01,Pro,40,0,Active,,,17
A-f1f639,EdTech,US,ads,2023-07-01,Basic,5,95,Churned,2023-10-18,competitor,3
A-fdfc91,Cybersecurity,US,ads,2023-07-01,Basic,29,551,Active,,,17
A-0f3e88,HealthTech,US,other,2023-08-01,Basic,7,133,Churned,2024-08-11,budget,12
A-186a44,HealthTech,US,ads,2023-08-01,Basic,20,380,Active,,,16
A-297a2d,HealthTech,UK,event,2023-08-01,Basic,27,0,Active,,,16
A-2e3bad,FinTech,CA,other,2023-08-01,Enterprise,61,12139,Churned,2024-03-30,features,7
A-328bd0,HealthTech,AU,partner,2023-08-01,Basic,28,0,Active,,,16
A-337bc1,Cybersecurity,US,organic,2023-08-01,Pro,30,1470,Churned,2023-10-21,support,2
A-3c1a3f,DevTools,UK,event,2023-08-01,Basic,45,0,Active,,,16
A-45ce7a,FinTech,US,ads,2023-08-01,Pro,16,784,Active,,,16
A-54ecc2,Cybersecurity,US,partner,2023-08-01,Pro,4,196,Churned,2024-09-12,unknown,13
A-5a184f,DevTools,DE,other,2023-08-01,Pro,19,0,Churned,2023-07-23,features,-1
A-67be94,EdTech,US,organic,2023-08-01,Basic,26,494,Churned,2024-05-28,support,9
A-712533,EdTech,US,organic,2023-08-01,Enterprise,18,0,Churned,2024-07-18,unknown,11
A-794a0b,HealthTech,DE,organic,2023-08-01,Pro,23,0,Churned,2024-09-09,budget,13
A-7f6b86,HealthTech,US,partner,2023-08-01,Pro,45,0,Churned,2024-07-10,pricing,11
A-8145a0,Cybersecurity,AU,partner,2023-08-01,Enterprise,4,796,Churned,2023-07-12,features,-1
A-8ed5dd,EdTech,UK,event,2023-08-01,Pro,5,245,Churned,2024-10-30,support,14
A-91e948,EdTech,AU,partner,2023-08-01,Basic,41,779,Active,,,16
A-92a333,FinTech,US,event,2023-08-01,Basic,9,171,Active,,,16
A-993085,HealthTech,US,ads,2023-08-01,Basic,31,589,Churned,2023-09-20,features,1
A-9c18c4,HealthTech,US,ads,2023-08-01,Basic,12,228,Active,,,16
A-bbe56f,HealthTech,US,ads,2023-08-01,Enterprise,21,4179,Active,,,16
A-c7e58b,HealthTech,IN,other,2023-08-01,Basic,3,57,Active,,,16
A-ce66f8,EdTech,CA,event,2023-08-01,Basic,29,551,Active,,,16
A-df10db,DevTools,US,other,2023-08-01,Basic,14,266,Churned,2024-05-19,competitor,9
A-e19ff6,Cybersecurity,UK,partner,2023-08-01,Basic,8,152,Churned,2024-01-08,pricing,5
A-e693b6,FinTech,AU,event,2023-08-01,Basic,55,1045,Churned,2024-10-10,budget,14
A-eafc6e,DevTools,US,partner,2023-08-01,Pro,27,1323,Churned,2023-07-31,pricing,-1
A-00cac8,HealthTech,AU,organic,2023-09-01,Pro,8,392,Active,,,15
A-180abf,DevTools,US,event,2023-09-01,Enterprise,64,12736,Churned,2023-12-04,support,3
A-1f7acb,FinTech,UK,ads,2023-09-01,Enterprise,64,12736,Active,,,15
A-2b9d3e,EdTech,US,partner,2023-09-01,Basic,11,209,Active,,,15
A-3b5cd1,FinTech,US,event,2023-09-01,Pro,13,0,Churned,2024-01-21,pricing,4
A-43a9e3,FinTech,IN,other,2023-09-01,Basic,22,418,Active,,,15
A-5a3eb9,DevTools,CA,other,2023-09-01,Pro,65,3185,Churned,2024-04-14,features,7
A-5b1bcd,DevTools,US,organic,2023-09-01,Basic,73,1387,Churned,2024-08-07,competitor,11
A-756192,FinTech,IN,other,2023-09-01,Pro,19,0,Active,,,15
A-98a59a,FinTech,UK,partner,2023-09-01,Pro,56,2744,Churned,2024-09-11,support,12
A-9bfc9f,DevTools,CA,ads,2023-09-01,Pro,53,2597,Active,,,15
A-ac14bb,FinTech,US,partner,2023-09-01,Pro,21,1029,Churned,2024-08-29,pricing,11
A-ac9111,HealthTech,US,event,2023-09-01,Pro,41,2009,Churned,2024-06-25,budget,9
A-f97b9a,FinTech,US,event,2023-09-01,Enterprise,16,0,Active,,,15
A-fa3095,FinTech,US,ads,2023-09-01,Enterprise,70,0,Churned,2023-12-23,support,3
A-02fac6,FinTech,US,event,2023-10-01,Pro,22,1078,Churned,2024-08-21,support,10
A-068fc6,EdTech,US,event,2023-10-01,Pro,35,1715,Active,,,14
A-1e1b80,FinTech,CA,other,2023-10-01,Basic,50,950,Churned,2023-10-04,competitor,0
A-37f969,HealthTech,IN,partner,2023-10-01,Pro,30,1470,Churned,2024-02-12,pricing,4
A-503d5a,FinTech,US,other,2023-10-01,Basic,49,931,Active,,,14
A-6da850,FinTech,IN,organic,2023-10-01,Pro,34,1666,Churned,2024-01-15,pricing,3
A-6dee43,FinTech,UK,other,2023-10-01,Basic,6,114,Churned,2024-01-14,pricing,3
A-9123ac,Cybersecurity,DE,organic,2023-10-01,Basic,9,171,Churned,2024-04-05,support,6
A-96e141,DevTools,UK,partner,2023-10-01,Enterprise,40,0,Churned,2024-07-22,budget,9
A-9b9fe9,EdTech,AU,other,2023-10-01,Basic,11,0,Churned,2023-12-27,features,2
A-a8b49c,Cybersecurity,UK,partner,2023-10-01,Basic,7,133,Churned,2024-06-17,features,8
A-aa9511,DevTools,US,other,2023-10-01,Pro,23,1127,Churned,2023-10-17,competitor,0
A-c1dfe1,DevTools,DE,ads,2023-10-01,Basic,26,494,Churned,2023-09-21,pricing,-1
A-d77f4c,DevTools,US,partner,2023-10-01,Basic,8,152,Churned,2024-08-06,budget,10
A-d922bf,HealthTech,US,ads,2023-10-01,Enterprise,30,5970,Churned,2024-12-06,support,14
A-dcc2f0,FinTech,UK,organic,2023-10-01,Basic,15,285,Churned,2024-04-10,features,6
A-dec005,HealthTech,US,partner,2023-10-01,Basic,21,0,Churned,2024-11-23,support,13
A-e7beab,EdTech,DE,organic,2023-10-01,Enterprise,21,4179,Churned,2024-04-25,features,6
A-00bed1,Cybersecurity,US,ads,2023-11-01,Basic,61,1159,Churned,2024-01-03,unknown,2
A-13466a,DevTools,AU,event,2023-11-01,Basic,2,38,Churned,2023-11-18,support,0
A-1b707d,Cybersecurity,US,organic,2023-11-01,Pro,7,343,Churned,2023-07-21,competitor,-4
A-2edab2,HealthTech,US,event,2023-11-01,Basic,17,323,Churned,2023-12-21,unknown,1
A-313be3,EdTech,US,partner,2023-11-01,Enterprise,47,0,Churned,2023-12-09,competitor,1
A-3793ee,Cybersecurity,CA,organic,2023-11-01,Enterprise,49,0,Churned,2023-06-16,unknown,-5
A-3be56b,HealthTech,IN,event,2023-11-01,Enterprise,3,0,Churned,2024-01-10,competitor,2
A-4437e4,Cybersecurity,US,event,2023-11-01,Basic,17,323,Churned,2024-06-21,features,7
A-54d94a,Cybersecurity,IN,event,2023-11-01,Enterprise,52,0,Active,,,13
A-659280,FinTech,IN,event,2023-11-01,Enterprise,13,2587,Churned,2024-07-23,features,8
A-6f50ae,FinTech,US,partner,2023-11-01,Basic,19,361,Churned,2023-11-06,unknown,0
A-72799b,DevTools,FR,event,2023-11-01,Enterprise,20,3980,Churned,2024-05-05,pricing,6
A-7920cc,Cybersecurity,FR,ads,2023-11-01,Basic,39,741,Active,,,13
A-7e0a10,FinTech,US,ads,2023-11-01,Basic,46,874,Churned,2024-09-26,budget,10
A-81edc3,Cybersecurity,IN,ads,2023-11-01,Pro,12,588,Churned,2024-03-03,unknown,4
A-856b1e,FinTech,US,partner,2023-11-01,Pro,19,931,Active,,,13
A-9f9299,FinTech,US,organic,2023-11-01,Enterprise,28,5572,Churned,2024-03-24,features,4
A-c62e55,EdTech,US,partner,2023-11-01,Pro,34,1666,Active,,,13
A-ccabf0,HealthTech,IN,organic,2023-11-01,Enterprise,16,3184,Churned,2024-05-05,competitor,6
A-e51ec7,FinTech,CA,partner,2023-11-01,Enterprise,25,4975,Churned,2024-01-15,budget,2
A-e61e98,FinTech,US,partner,2023-11-01,Pro,19,931,Churned,2024-10-19,features,11
A-e89151,FinTech,UK,organic,2023-11-01,Enterprise,8,1592,Active,,,13
A-034368,EdTech,US,event,2023-12-01,Basic,19,0,Churned,2024-08-29,features,8
A-098560,DevTools,UK,ads,2023-12-01,Pro,35,1715,Churned,2024-05-30,support,5
A-157070,FinTech,US,ads,2023-12-01,Basic,17,323,Churned,2024-01-06,features,1
A-1b9609,EdTech,IN,ads,2023-12-01,Pro,12,588,Churned,2024-01-02,unknown,1
A-1f0ac7,HealthTech,UK,other,2023-12-01,Pro,24,1176,Churned,2024-11-08,support,11
A-1f559b,HealthTech,US,organic,2023-12-01,Basic,16,304,Churned,2024-09-28,features,9
A-3932db,HealthTech,CA,other,2023-12-01,Basic,23,437,Active,,,12
A-3a5ad8,HealthTech,US,organic,2023-12-01,Enterprise,9,0,Active,,,12
A-3ce5b8,FinTech,IN,ads,2023-12-01,Pro,189,9261,Churned,2024-09-18,features,9
A-474ad4,EdTech,US,organic,2023-12-01,Basic,10,190,Active,,,12
A-69b156,EdTech,US,other,2023-12-01,Enterprise,7,1393,Active,,,12
A-798a3f,DevTools,FR,other,2023-12-01,Enterprise,12,2388,Churned,2024-07-19,support,7
A-a6d261,FinTech,CA,other,2023-12-01,Basic,9,171,Churned,2024-03-10,unknown,3
A-a8d89d,EdTech,US,ads,2023-12-01,Enterprise,78,15522,Churned,2024-01-18,features,1
A-c45b23,FinTech,UK,partner,2023-12-01,Basic,8,152,Churned,2024-03-24,support,3
A-cdf020,DevTools,AU,organic,2023-12-01,Pro,31,1519,Churned,2023-12-08,budget,0
A-dcc3f1,HealthTech,US,event,2023-12-01,Basic,21,399,Churned,2024-07-16,support,7
A-dfbd31,DevTools,UK,partner,2023-12-01,Pro,14,0,Churned,2024-01-01,features,1
A-eb7fac,DevTools,US,organic,2023-12-01,Pro,12,588,Churned,2024-07-22,unknown,7
A-f03140,DevTools,IN,event,2023-12-01,Basic,27,513,Churned,2024-10-03,competitor,10
A-1e6fc3,EdTech,FR,other,2024-01-01,Basic,1,0,Churned,2024-03-20,pricing,2
A-2446e3,EdTech,IN,organic,2024-01-01,Pro,27,1323,Churned,2024-07-20,competitor,6
A-296d7c,DevTools,DE,other,2024-01-01,Basic,6,114,Churned,2024-11-04,budget,10
A-331424,DevTools,US,organic,2024-01-01,Pro,11,0,Churned,2024-02-21,competitor,1
A-3cc791,EdTech,US,other,2024-01-01,Basic,25,0,Churned,2024-10-09,features,9
A-40a557,Cybersecurity,AU,partner,2024-01-01,Enterprise,16,3184,Churned,2023-12-08,budget,-1
A-462d45,Cybersecurity,US,partner,2024-01-01,Basic,89,1691,Churned,2024-05-17,competitor,4
A-508199,FinTech,AU,event,2024-01-01,Enterprise,19,3781,Active,,,11
A-50f3f7,HealthTech,US,partner,2024-01-01,Enterprise,45,8955,Active,,,11
A-55f257,FinTech,US,organic,2024-01-01,Enterprise,38,0,Active,,,11
A-59f724,HealthTech,US,other,2024-01-01,Pro,18,882,Active,,,11
A-5a215a,EdTech,FR,other,2024-01-01,Basic,87,1653,Active,,,11
A-600734,DevTools,US,organic,2024-01-01,Pro,29,1421,Active,,,11
A-712f1c,DevTools,US,ads,2024-01-01,Basic,24,456,Churned,2024-10-24,budget,9
A-832ec2,FinTech,UK,event,2024-01-01,Basic,25,0,Churned,2023-12-19,unknown,-1
A-855a48,EdTech,US,partner,2024-01-01,Enterprise,40,7960,Churned,2024-08-01,unknown,7
A-94c3cd,FinTech,CA,other,2024-01-01,Enterprise,32,0,Active,,,11
A-a865bd,Cybersecurity,US,organic,2024-01-01,Pro,38,1862,Churned,2023-11-26,unknown,-2
A-acb7f7,EdTech,US,ads,2024-01-01,Enterprise,32,6368,Churned,2024-03-21,competitor,2
A-ae052e,FinTech,CA,other,2024-01-01,Pro,39,0,Churned,2023-10-07,support,-3
A-afa505,DevTools,US,partner,2024-01-01,Pro,70,3430,Churned,2024-03-02,support,2
A-b20d99,HealthTech,IN,other,2024-01-01,Enterprise,20,3980,Churned,2024-03-04,features,2
A-ba6516,FinTech,US,ads,2024-01-01,Enterprise,27,5373,Churned,2024-03-17,budget,2
A-bece89,Cybersecurity,IN,event,2024-01-01,Enterprise,26,5174,Churned,2023-12-16,budget,-1
A-dbc825,EdTech,FR,partner,2024-01-01,Enterprise,19,3781,Churned,2024-01-14,features,0
A-e98302,EdTech,US,ads,2024-01-01,Pro,18,882,Active,,,11
A-1f0636,EdTech,AU,partner,2024-02-01,Basic,105,0,Active,,,10
A-4e0e85,DevTools,US,organic,2024-02-01,Pro,20,0,Churned,2023-11-16,competitor,-3
A-4e960a,FinTech,US,other,2024-02-01,Enterprise,17,0,Active,,,10
A-51ec1b,DevTools,US,ads,2024-02-01,Basic,11,209,Churned,2023-12-09,unknown,-2
A-65aeb5,DevTools,US,partner,2024-02-01,Basic,9,171,Churned,2024-02-27,pricing,0
A-65c341,FinTech,US,ads,2024-02-01,Pro,17,833,Churned,2024-03-07,support,1
A-7d514c,HealthTech,DE,organic,2024-02-01,Enterprise,17,0,Active,,,10
A-8adedc,EdTech,US,event,2024-02-01,Enterprise,57,11343,Active,,,10
A-8b25f2,Cybersecurity,US,ads,2024-02-01,Enterprise,20,0,Active,,,10
A-8e47ca,HealthTech,US,organic,2024-02-01,Pro,19,931,Churned,2024-06-01,competitor,4
A-b44e3e,Cybersecurity,UK,ads,2024-02-01,Enterprise,79,15721,Churned,2024-04-14,unknown,2
A-ccb686,DevTools,US,other,2024-02-01,Pro,14,686,Churned,2024-06-22,budget,4
A-d49cc5,Cybersecurity,FR,event,2024-02-01,Basic,50,950,Churned,2024-04-12,competitor,2
A-e2cd1b,DevTools,US,other,2024-02-01,Basic,44,836,Active,,,10
A-e83938,DevTools,UK,other,2024-02-01,Enterprise,16,3184,Churned,2024-02-19,features,0
A-eb2fdc,DevTools,AU,organic,2024-02-01,Pro,31,1519,Churned,2024-05-26,competitor,3
A-f51f16,HealthTech,US,partner,2024-02-01,Basic,24,456,Churned,2024-07-07,features,5
A-faa28c,HealthTech,US,organic,2024-02-01,Enterprise,48,9552,Churned,2024-05-24,features,3
A-02cd81,HealthTech,IN,other,2024-03-01,Basic,44,836,Churned,2024-04-30,pricing,1
A-1d5444,Cybersecurity,US,partner,2024-03-01,Basic,24,456,Churned,2024-06-01,support,3
A-202b67,HealthTech,US,organic,2024-03-01,Pro,11,539,Churned,2024-03-30,features,0
A-22d9d2,DevTools,FR,event,2024-03-01,Basic,8,152,Churned,2024-10-17,pricing,7
A-31ab9a,FinTech,DE,organic,2024-03-01,Basic,15,285,Churned,2024-08-09,budget,5
A-439b2f,DevTools,US,ads,2024-03-01,Basic,7,133,Churned,2024-08-02,pricing,5
A-4c38bc,HealthTech,UK,event,2024-03-01,Basic,36,684,Active,,,9
A-4c6f11,FinTech,CA,organic,2024-03-01,Enterprise,24,4776,Churned,2024-06-29,competitor,3
A-4e631b,FinTech,US,other,2024-03-01,Enterprise,40,7960,Active,,,9
A-5247b3,FinTech,UK,partner,2024-03-01,Enterprise,16,3184,Churned,2024-10-12,support,7
A-65a46c,HealthTech,US,event,2024-03-01,Enterprise,78,15522,Active,,,9
A-692f18,EdTech,US,other,2024-03-01,Enterprise,29,5771,Churned,2024-12-23,support,9
A-7988d1,Cybersecurity,US,other,2024-03-01,Basic,33,0,Churned,2024-01-06,budget,-2
A-7c5768,HealthTech,UK,event,2024-03-01,Enterprise,5,995,Active,,,9
A-922109,Cybersecurity,US,ads,2024-03-01,Pro,38,1862,Churned,2024-08-03,support,5
A-970c97,HealthTech,DE,other,2024-03-01,Enterprise,14,2786,Active,,,9
A-a0ca4e,Cybersecurity,US,ads,2024-03-01,Enterprise,12,2388,Active,,,9
A-a1b80b,HealthTech,US,organic,2024-03-01,Enterprise,52,10348,Churned,2024-07-11,budget,4
A-ad64c6,DevTools,UK,event,2024-03-01,Enterprise,12,2388,Churned,2024-07-03,support,4
A-b9eed8,Cybersecurity,US,organic,2024-03-01,Enterprise,15,2985,Churned,2024-04-23,pricing,1
A-c16b88,HealthTech,US,event,2024-03-01,Pro,27,0,Churned,2024-06-01,competitor,3
A-df1e44,Cybersecurity,UK,organic,2024-03-01,Enterprise,39,0,Churned,2024-10-17,budget,7
A-ef84cf,EdTech,US,partner,2024-03-01,Enterprise,8,0,Churned,2024-08-14,unknown,5
A-f19b24,Cybersecurity,US,organic,2024-03-01,Pro,29,1421,Active,,,9
A-fe79a5,HealthTech,IN,ads,2024-03-01,Basic,19,0,Active,,,9
A-09540c,Cybersecurity,CA,event,2024-04-01,Basic,67,1273,Churned,2024-03-05,unknown,-1
A-2d4502,FinTech,IN,event,2024-04-01,Pro,8,392,Churned,2024-05-07,pricing,1
A-34d880,Cybersecurity,AU,ads,2024-04-01,Enterprise,53,10547,Churned,2024-12-20,unknown,8
A-39868b,FinTech,AU,partner,2024-04-01,Enterprise,9,1791,Churned,2024-05-06,unknown,1
A-4ef964,HealthTech,US,organic,2024-04-01,Enterprise,17,3383,Churned,2024-06-19,budget,2
A-4f18f0,DevTools,CA,other,2024-04-01,Enterprise,25,0,Churned,2024-05-27,features,1
A-526d93,HealthTech,FR,organic,2024-04-01,Enterprise,43,8557,Churned,2024-07-10,features,3
A-684255,FinTech,US,ads,2024-04-01,Basic,32,608,Churned,2024-05-04,budget,1
A-702032,HealthTech,US,ads,2024-04-01,Enterprise,28,5572,Churned,2024-04-18,features,0
A-812c5b,DevTools,CA,organic,2024-04-01,Pro,55,0,Churned,2024-05-11,support,1
A-883b7d,Cybersecurity,IN,other,2024-04-01,Pro,17,833,Active,,,8
A-940b8b,HealthTech,DE,organic,2024-04-01,Enterprise,32,6368,Active,,,8
A-94f8c9,HealthTech,US,other,2024-04-01,Pro,13,637,Churned,2024-05-02,budget,1
A-9779ad,Cybersecurity,AU,event,2024-04-01,Enterprise,40,7960,Churned,2024-04-17,unknown,0
A-b2225d,FinTech,US,ads,2024-04-01,Enterprise,47,0,Churned,2024-03-31,pricing,-1
A-b30291,HealthTech,US,event,2024-04-01,Basic,5,95,Churned,2024-09-03,competitor,5
A-bb3bd4,HealthTech,US,ads,2024-04-01,Enterprise,23,4577,Churned,2024-05-30,pricing,1
A-c9bb3e,EdTech,US,ads,2024-04-01,Pro,35,1715,Churned,2024-07-29,pricing,3
A-cb5333,DevTools,US,ads,2024-04-01,Enterprise,33,6567,Churned,2024-08-11,features,4
A-eb7c38,DevTools,AU,organic,2024-04-01,Enterprise,13,0,Churned,2024-03-22,budget,-1
A-f5641b,EdTech,US,other,2024-04-01,Enterprise,31,6169,Churned,2024-04-20,pricing,0
A-ffdfd5,EdTech,US,organic,2024-04-01,Pro,11,539,Churned,2024-08-08,features,4
A-0158bb,FinTech,DE,partner,2024-05-01,Basic,25,0,Active,,,7
A-029f69,Cybersecurity,CA,event,2024-05-01,Pro,26,1274,Churned,2024-06-17,budget,1
A-054577,EdTech,UK,ads,2024-05-01,Pro,20,980,Active,,,7
A-20736a,EdTech,IN,organic,2024-05-01,Pro,50,2450,Churned,2024-03-19,competitor,-2
A-30b4ca,EdTech,IN,organic,2024-05-01,Enterprise,86,17114,Churned,2024-09-01,features,4
A-342303,EdTech,US,other,2024-05-01,Basic,17,323,Churned,2024-03-20,features,-2
A-354f12,FinTech,US,ads,2024-05-01,Enterprise,34,6766,Churned,2024-09-19,competitor,4
A-40906c,EdTech,US,ads,2024-05-01,Basic,92,0,Active,,,7
A-4a267b,FinTech,US,other,2024-05-01,Enterprise,29,5771,Churned,2024-06-17,support,1
